State,City,FAA,IATA,ICAO,Airport
CALIFORNIA,Long Beach,LGB,LGB,KLGB,Long Beach Airport (Daugherty Field)
CALIFORNIA,Los Angeles,LAX,LAX,KLAX,Los Angeles International Airport
CALIFORNIA,Mammoth Lakes,MMH,MMH,KMMH,Mammoth Yosemite Airport
CALIFORNIA,Modesto,MOD,MOD,KMOD,Modesto City–County Airport (Harry Sham Field)
CALIFORNIA,Monterey,MRY,MRY,KMRY,Monterey Regional Airport
CALIFORNIA,Oakland,OAK,OAK,KOAK,Oakland International Airport
CALIFORNIA,Ontario,ONT,ONT,KONT,Ontario International Airport
CALIFORNIA,Palm Springs,PSP,PSP,KPSP,Palm Springs International Airport
CALIFORNIA,Redding,RDD,RDD,KRDD,Redding Municipal Airport
CALIFORNIA,Sacramento,SMF,SMF,KSMF,Sacramento International Airport
CALIFORNIA,San Diego,SAN,SAN,KSAN,San Diego International Airport (Lindbergh Field)
CALIFORNIA,San Francisco,SFO,SFO,KSFO,San Francisco International Airport
CALIFORNIA,San Jose,SJC,SJC,KSJC,Norman Y. Mineta San José International Airport
CALIFORNIA,San Luis Obispo,SBP,SBP,KSBP,San Luis Obispo County Regional Airport (McChesney Field)
CALIFORNIA,Santa Ana,SNA,SNA,KSNA,John Wayne Airport (was Orange County Airport)
CALIFORNIA,Santa Barbara,SBA,SBA,KSBA,Santa Barbara Municipal Airport (Santa Barbara Airport)
CALIFORNIA,Santa Maria,SMX,SMX,KSMX,Santa Maria Public Airport (Capt G. Allan Hancock Field)
CALIFORNIA,Santa Rosa,STS,STS,KSTS,Charles M. Schulz–Sonoma County Airport
CALIFORNIA,Stockton,SCK,SCK,KSCK,Stockton Metropolitan Airport
COLORADO,Aspen,ASE,ASE,KASE,Aspen-Pitkin County Airport (Sardy Field)
COLORADO,Colorado Springs,COS,COS,KCOS,City of Colorado Springs Municipal Airport
COLORADO,Denver,DEN,DEN,KDEN,Denver International Airport
COLORADO,Durango,DRO,DRO,KDRO,Durango-La Plata County Airport
COLORADO,Eagle,EGE,EGE,KEGE,Eagle County Regional Airport
